Estadio_do_dragao Alameda_das_antas
Alameda_das_antas Antas
Antas Marques
Marques Holmes_Place
Holmes_Place Antero_de_Quintal
Antas Boralho
Boralho Hospital_Joaquim_Urbano
Marques Marques_south
Marques_south Boralho
Holmes_Place Banco_Popular
Antero_de_Quintal ABContact
ABContact Banco_Popular
Banco_Popular Marques_south
Marques_south Urban_Garden_Porto
Boralho Travessa_Fernao_magalhaes
Urban_Garden_Porto Travessa_Fernao_magalhaes
Hospital_da_ordem_da_Trindade  Urban_Garden_Porto
Viaduto_Gonçalo_Cristovao Hospital_da_ordem_da_Trindade
Viaduto_Gonçalo_Cristovao Marques_south
ABContact Lapa
Lapa Hospital_Ordem_da_Lapa
Hospital_Ordem_da_Lapa Praça_da_Republica
Praça_da_Republica Viaduto_Gonçalo_Cristovao
Lapa Ramada_alta
Ramada_alta Hospital_CICA
Hospital_CICA Travessa_flores
Hospital_da_ordem_da_Trindade Travessa_flores
Travessa_flores Sao_bento
Sao_bento Travessa_Fernao_magalhaes
